TimeGenerated,UserPrincipalName,AppDisplayName,IPAddress,City,Country,ResultType,ResultDescription,DeviceOS,Browser
2026-08-03T14:21:55Z,finn.gale@cloudora.io,Azure Portal,198.51.100.24,Manchester,United Kingdom,50126,Invalid username or password,Windows 11,Edge 126
2026-08-03T14:23:15Z,finn.gale@cloudora.io,Azure Portal,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T14:27:34Z,lucas.ford@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T14:27:38Z,tara.kemp@cloudora.io,SharePoint Online,203.0.113.14,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T14:28:14Z,aria.reid@cloudora.io,SharePoint Online,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T14:32:44Z,lena.voss@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-03T14:35:29Z,seth.lane@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-03T14:39:47Z,dina.said@cloudora.io,Microsoft Teams,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T14:41:31Z,lena.voss@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T14:47:22Z,cole.burke@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T14:48:44Z,priya.nair@cloudora.io,Cloudora Admin Portal,203.0.113.10,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T14:49:50Z,alba.vega@cloudora.io,Microsoft Teams,198.51.100.22,Manchester,United Kingdom,50126,Invalid username or password,macOS 14,Safari 17
2026-08-03T14:50:33Z,alba.vega@cloudora.io,SharePoint Online,198.51.100.22,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T15:02:35Z,sofia.marino@cloudora.io,Microsoft 365,203.0.113.17,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T15:03:15Z,cole.burke@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-03T15:06:55Z,chloe.price@cloudora.io,Microsoft 365,203.0.113.17,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T15:16:30Z,dean.page@cloudora.io,Microsoft Teams,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T15:18:46Z,gwen.muir@cloudora.io,Outlook Web,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T15:23:54Z,emma.hayes@cloudora.io,Microsoft Teams,203.0.113.12,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T15:25:40Z,mira.shah@cloudora.io,Microsoft 365,192.0.2.31,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-03T15:27:03Z,maya.chen@cloudora.io,Cloudora Admin Portal,203.0.113.11,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T15:27:28Z,ruth.dean@cloudora.io,Microsoft 365,192.0.2.32,Austin,United States,50126,Invalid username or password,iOS 17,Mobile Safari
2026-08-03T15:28:28Z,ruth.dean@cloudora.io,Microsoft Teams,192.0.2.32,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T15:31:14Z,omar.farah@cloudora.io,SharePoint Online,203.0.113.10,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T15:35:30Z,ethan.wells@cloudora.io,Azure Portal,192.0.2.30,Austin,United States,0,Success,Windows 10,Edge 126
2026-08-03T15:43:48Z,priya.nair@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T15:45:19Z,leah.stone@cloudora.io,Microsoft Teams,203.0.113.17,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T15:54:05Z,seth.lane@cloudora.io,SharePoint Online,192.0.2.32,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T15:57:11Z,arjun.mehta@cloudora.io,Azure Portal,203.0.113.16,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T15:57:19Z,daniel.reeve@cloudora.io,Microsoft Teams,203.0.113.13,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T15:58:19Z,aria.reid@cloudora.io,Cloudora Admin Portal,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T15:58:41Z,isla.grant@cloudora.io,Outlook Web,203.0.113.15,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T15:59:42Z,jude.ross@cloudora.io,Azure Portal,203.0.113.16,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T16:00:19Z,leah.stone@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T16:01:21Z,dean.page@cloudora.io,SharePoint Online,192.0.2.31,Austin,United States,50126,Invalid username or password,iOS 17,Mobile Safari
2026-08-03T16:01:52Z,dean.page@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T16:02:59Z,rhys.owen@cloudora.io,Cloudora Admin Portal,203.0.113.13,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T16:03:44Z,noah.bishop@cloudora.io,SharePoint Online,203.0.113.13,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T16:08:02Z,tara.kemp@cloudora.io,Microsoft 365,203.0.113.14,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T16:08:32Z,kian.patel@cloudora.io,SharePoint Online,192.0.2.31,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T16:14:53Z,leah.stone@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T16:20:40Z,zara.aziz@cloudora.io,Azure Portal,203.0.113.16,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T16:22:04Z,dina.said@cloudora.io,Outlook Web,203.0.113.12,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T16:32:19Z,hugo.marsh@cloudora.io,Microsoft 365,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T16:35:18Z,dean.page@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T16:39:37Z,joel.kerr@cloudora.io,SharePoint Online,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T16:42:19Z,tara.kemp@cloudora.io,Azure Portal,203.0.113.14,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T16:47:13Z,aria.reid@cloudora.io,Outlook Web,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T16:55:46Z,olivia.kaur@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T17:02:19Z,freya.lynn@cloudora.io,Microsoft 365,198.51.100.20,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T17:10:48Z,jude.ross@cloudora.io,Microsoft Teams,203.0.113.16,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T17:10:52Z,freya.lynn@cloudora.io,SharePoint Online,198.51.100.20,Manchester,United Kingdom,50126,Invalid username or password,Windows 10,Edge 126
2026-08-03T17:11:21Z,freya.lynn@cloudora.io,SharePoint Online,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T17:14:01Z,zara.aziz@cloudora.io,Microsoft 365,203.0.113.16,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T17:17:45Z,isla.grant@cloudora.io,Outlook Web,203.0.113.15,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T17:18:37Z,arjun.mehta@cloudora.io,Cloudora Admin Portal,203.0.113.16,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T17:20:03Z,freya.lynn@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T17:28:15Z,tara.kemp@cloudora.io,Microsoft Teams,203.0.113.14,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T17:47:55Z,ruth.dean@cloudora.io,Microsoft Teams,192.0.2.32,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T17:49:45Z,sofia.marino@cloudora.io,Azure Portal,203.0.113.17,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T17:53:21Z,ryan.boyd@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T17:54:18Z,nina.cole@cloudora.io,Microsoft Teams,198.51.100.22,Manchester,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T17:57:05Z,liam.doyle@cloudora.io,Cloudora Admin Portal,203.0.113.17,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T18:00:52Z,sofia.marino@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T18:01:19Z,james.holt@cloudora.io,SharePoint Online,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T18:02:15Z,amelia.frost@cloudora.io,Microsoft 365,203.0.113.14,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T18:03:27Z,arjun.mehta@cloudora.io,Outlook Web,203.0.113.16,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T18:03:33Z,amelia.frost@cloudora.io,Cloudora Admin Portal,203.0.113.14,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T18:07:00Z,ryan.boyd@cloudora.io,Cloudora Admin Portal,203.0.113.10,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T18:07:39Z,james.holt@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T18:07:50Z,sofia.marino@cloudora.io,Microsoft Teams,203.0.113.17,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T18:08:37Z,omar.farah@cloudora.io,SharePoint Online,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T18:13:37Z,omar.farah@cloudora.io,Cloudora Admin Portal,203.0.113.10,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T18:18:11Z,noah.bishop@cloudora.io,Microsoft 365,203.0.113.13,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T18:19:55Z,maya.chen@cloudora.io,SharePoint Online,203.0.113.11,London,United Kingdom,50126,Invalid username or password,Windows 11,Edge 126
2026-08-03T18:20:48Z,maya.chen@cloudora.io,SharePoint Online,203.0.113.11,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T18:21:23Z,ryan.boyd@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T18:28:04Z,finn.gale@cloudora.io,Azure Portal,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
